plant;f.mass;f.size1;f.size2;no.seeds;parent;parentname;t.seeds;forest;pred
Eueu;136;7.74;6.16;1;A;Brücke_L_55_Eueu;63.6;l;NA
Eueu;1108;7.32;4.88;1;A;Brücke_L_55_Eueu;42.7;l;NA
Eueu;1534;8.38;5.37;1;A;Brücke_L_55_Eueu;42;l;NA
Eueu;144;7.25;5.16;1;A;Brücke_L_55_Eueu;42.9;l;NA
Eueu;118;7.9;4.85;2;A;Brücke_L_55_Eueu;87.9;l;NA
Eueu;134;8.33;5.37;1;A;Brücke_L_55_Eueu;44.3;l;NA
Eueu;2044;9.01;6.13;2;A;Brücke_L_55_Eueu;66.2;l;NA
Eueu;2412;8.9;6.65;1;A;Brücke_L_55_Eueu;48.8;l;NA
Eueu;1789;8.4;5.13;2;A;Brücke_L_55_Eueu;70.7;l;NA
Eueu;1266;7.61;5.2;1;A;Brücke_L_55_Eueu;41.9;l;NA
Eueu;128;7.6;4.65;1;A;Brücke_L_55_Eueu;26;l;NA
Eueu;1295;7.67;5.47;2;A;Brücke_L_55_Eueu;57.1;l;NA
Eueu;1037;6.43;4.56;1;A;Brücke_L_55_Eueu;28.7;l;NA
Eueu;1736;9.09;5.06;1;B;Brücke_Levin_Eueu;42.3;l;NA
Eueu;142;8.23;5.1;1;B;Brücke_Levin_Eueu;43.8;l;NA
Eueu;1364;7.87;5.31;1;B;Brücke_Levin_Eueu;44.4;l;NA
Eueu;1784;8.2;5.23;1;B;Brücke_Levin_Eueu;44.2;l;NA
Eueu;1478;7.91;5.21;1;B;Brücke_Levin_Eueu;64.9;l;NA
Eueu;1552;7.9;5.19;2;B;Brücke_Levin_Eueu;75.5;l;NA
Eueu;1552;7.89;5.7;1;B;Brücke_Levin_Eueu;33.2;l;NA
Eueu;1417;7.3;5.4;1;C;Brücke2_Eueu;54.4;l;NA
Eueu;145;7.47;6.35;1;C;Brücke2_Eueu;56;l;NA
Eueu;1065;6.3;4.6;2;C;Brücke2_Eueu;94.3;l;NA
Eueu;1198;7.3;5.47;1;C;Brücke2_Eueu;56.5;l;NA
Eueu;90;6.51;5.21;1;C;Brücke2_Eueu;53.5;l;NA
Eueu;1253;7.05;5.49;1;C;Brücke2_Eueu;69.6;l;NA
Eueu;985;6.68;5.08;1;C;Brücke2_Eueu;61.3;l;NA
Eueu;1005;5.99;4.91;1;C;Brücke2_Eueu;55.2;l;NA
Eueu;1485;7.85;5.25;1;C;Brücke2_Eueu;75.2;l;NA
Eueu;1606;7.81;4.63;1;C;Brücke2_Eueu;64.2;l;NA
Eueu;1327;7.06;5.76;1;C;Brücke2_Eueu;65.5;l;NA
Eueu;1693;8.12;5.24;1;D;Fluss8_Eueu;47.7;l;NA
Eueu;987;6.47;4.99;1;D;Fluss8_Eueu;51.2;l;NA
Eueu;828;6.44;4.35;1;D;Fluss8_Eueu;33.5;l;NA
Eueu;848;6.3;4.71;1;D;Fluss8_Eueu;50.3;l;NA
Eueu;1001;7.44;4.96;1;D;Fluss8_Eueu;45.1;l;NA
Eueu;1193;6.78;4.99;1;D;Fluss8_Eueu;40.1;l;NA
Eueu;786;5.76;4.46;1;D;Fluss8_Eueu;38.1;l;NA
Eueu;823;6.09;4.82;1;D;Fluss8_Eueu;38.8;l;NA
Eueu;871;5.8;4.84;2;D;Fluss8_Eueu;82.6;l;NA
Eueu;1046;7.3;5.05;1;D;Fluss8_Eueu;58.7;l;NA
Eueu;188;8.03;6.3;2;D;Fluss8_Eueu;76;l;NA
Eueu;864;6.25;4.57;1;D;Fluss8_Eueu;51.7;l;NA
Eueu;1955;9.34;5.9;1;E;LuH1_Eueu;48.8;l;NA
Eueu;113;7;4.96;1;E;LuH1_Eueu;52.8;l;NA
Eueu;1713;8.2;5.89;1;E;LuH1_Eueu;57;l;NA
Eueu;2066;8.8;5.92;1;E;LuH1_Eueu;46.9;l;NA
Eueu;1756;8.79;6.18;1;E;LuH1_Eueu;34.4;l;NA
Eueu;2049;9.06;6;1;E;LuH1_Eueu;66;l;NA
Eueu;1514;7.78;5.88;1;E;LuH1_Eueu;39.2;l;NA
Eueu;1881;8.79;5.1;1;E;LuH1_Eueu;51.7;l;NA
Eueu;1632;8.61;5.46;1;E;LuH1_Eueu;41.8;l;NA
Eueu;1159;7.46;5.04;1;E;LuH1_Eueu;38.4;l;NA
Eueu;2478;8.87;6.88;1;E;LuH1_Eueu;52.7;l;NA
Eueu;121;6.83;4.95;1;E;LuH1_Eueu;54;l;NA
Eueu;1116;7.3;4.61;1;F;LuH2_Eueu;41.9;l;NA
Eueu;2077;8.12;5.98;1;F;LuH2_Eueu;60;l;NA
Eueu;1086;7.38;4.53;1;F;LuH2_Eueu;53.4;l;NA
Eueu;1568;8.13;5.35;1;F;LuH2_Eueu;45.6;l;NA
Eueu;1146;7.22;4.23;1;F;LuH2_Eueu;58.2;l;NA
Eueu;972;7.02;4.84;1;F;LuH2_Eueu;63.6;l;NA
Eueu;1041;6.95;4.54;1;F;LuH2_Eueu;51.4;l;NA
Eueu;1016;6.71;5.19;1;K;Ma_Eueu;73.7;o;NA
Eueu;802;6.55;4.58;1;K;Ma_Eueu;50.5;o;NA
Eueu;1492;7.9;6.03;2;K;Ma_Eueu;97;o;NA
Eueu;939;7.14;4.94;1;K;Ma_Eueu;58.2;o;NA
Eueu;952;6.5;4.32;1;K;Ma_Eueu;63.6;o;NA
Eueu;915;7.11;4.86;1;K;Ma_Eueu;61.9;o;NA
Eueu;686;5.89;4.25;1;K;Ma_Eueu;46.8;o;NA
Eueu;955;7.03;5.75;1;K;Ma_Eueu;52.6;o;NA
Eueu;128;6.89;5.77;1;K;Ma_Eueu;81.8;o;NA
Eueu;847;6.74;4.9;1;K;Ma_Eueu;49.2;o;NA
Eueu;114;6.62;5.09;1;K;Ma_Eueu;78.5;o;NA
Eueu;1217;7.24;5.11;1;K;Ma_Eueu;77.7;o;NA
Eueu;1221;7;5.15;1;K;Ma_Eueu;81;o;NA
Eueu;1356;7.67;5.05;2;K;Ma_Eueu;86.9;o;NA
Eueu;879;6.08;4.8;1;K;Ma_Eueu;54.9;o;NA
Eueu;1039;7.1;4.73;1;L;Mb_Eueu;70.9;o;NA
Eueu;911;6.5;4.74;1;L;Mb_Eueu;62.4;o;NA
Eueu;561;5.46;3.72;1;L;Mb_Eueu;38;o;NA
Eueu;1339;7.74;5.11;2;L;Mb_Eueu;93.3;o;NA
Eueu;1668;8.25;5.28;2;L;Mb_Eueu;117.1;o;NA
Eueu;1054;7.1;5.22;1;M;Mc_Eueu;56.7;o;NA
Eueu;883;7.49;4.6;1;M;Mc_Eueu;59.1;o;NA
Eueu;1263;7.56;4.84;1;M;Mc_Eueu;84.2;o;NA
Eueu;852;6.94;4.79;1;M;Mc_Eueu;56.6;o;NA
Eueu;944;6.68;4.49;1;M;Mc_Eueu;62.1;o;NA
Eueu;1252;7.4;4.84;1;M;Mc_Eueu;85.1;o;NA
Eueu;96;7.03;4.87;1;M;Mc_Eueu;65.6;o;NA
Eueu;1178;6.98;4.62;2;M;Mc_Eueu;83.1;o;NA
Eueu;903;6.87;4.74;1;M;Mc_Eueu;62.2;o;NA
Eueu;1441;8.31;5.52;2;M;Mc_Eueu;99.6;o;NA
Eueu;1262;7.63;4.96;1;N;Md_Eueu;79.3;o;NA
Eueu;1197;7.84;4.64;1;N;Md_Eueu;74;o;NA
Eueu;1091;6.99;4.65;1;N;Md_Eueu;73.3;o;NA
Eueu;1527;8.24;5.55;2;N;Md_Eueu;92.1;o;NA
Eueu;1363;7.85;4.74;1;N;Md_Eueu;93;o;NA
Eueu;1448;8.08;5.04;1;N;Md_Eueu;91.2;o;NA
Eueu;927;6.89;4.33;1;N;Md_Eueu;66.1;o;NA
Eueu;1094;7.35;4.6;1;N;Md_Eueu;72.1;o;NA
Eueu;1193;7.25;5.06;1;N;Md_Eueu;75.2;o;NA
Eueu;2547;9.54;6.98;2;N;Md_Eueu;149.2;o;NA
Eueu;1648;9.43;5.96;1;O;Me_Eueu;106;o;NA
Eueu;1208;7.77;4.81;1;O;Me_Eueu;88;o;NA
Eueu;1105;7.32;5.16;1;O;Me_Eueu;69.9;o;NA
Eueu;1237;7.56;5.51;1;O;Me_Eueu;82;o;NA
Eueu;942;6.92;4.61;2;O;Me_Eueu;128.2;o;NA
Eueu;1824;9.36;5.52;1;O;Me_Eueu;65.9;o;NA
Eueu;1005;7.36;5.08;1;O;Me_Eueu;67.4;o;NA
Eueu;1027;7.31;3.02;1;O;Me_Eueu;69.3;o;NA
Eueu;1243;7.68;5.28;1;O;Me_Eueu;86.7;o;NA
Eueu;2187;9.51;6.18;2;O;Me_Eueu;144.6;o;NA
Eueu;1014;6.69;5.24;1;G;Mix_logged_L3_Eueu;50.6;l;NA
Eueu;113;6.52;5.19;1;G;Mix_logged_L3_Eueu;51.6;l;NA
Eueu;1372;6.96;5.32;1;G;Mix_logged_L3_Eueu;36.2;l;NA
Eueu;1627;7.36;6.17;1;G;Mix_logged_L3_Eueu;43.9;l;NA
Eueu;1106;6.24;5.24;2;G;Mix_logged_L3_Eueu;79.9;l;NA
Eueu;1141;6.22;5.11;1;G;Mix_logged_L3_Eueu;37.7;l;NA
Eueu;1104;6.42;5.54;1;G;Mix_logged_L3_Eueu;62.8;l;NA
Eueu;1981;8.34;6.22;1;G;Mix_logged_L3_Eueu;42.4;l;NA
Eueu;706;5.74;4.07;2;H;Nord_2_Eueu;54.9;l;NA
Eueu;1032;6.45;4.82;1;H;Nord_2_Eueu;37.1;l;NA
Eueu;108;6.69;5.03;1;H;Nord_2_Eueu;34.2;l;NA
Eueu;1156;6.88;5.1;1;H;Nord_2_Eueu;83.5;l;NA
Eueu;1304;6.05;5.4;1;H;Nord_2_Eueu;54.4;l;NA
Eueu;1061;6.21;5.09;1;H;Nord_2_Eueu;73.3;l;NA
Eueu;728;5.89;4.34;1;H;Nord_2_Eueu;76.1;l;NA
Eueu;1354;6.53;5.42;1;H;Nord_2_Eueu;73.3;l;NA
Eueu;807;6;4.11;1;H;Nord_2_Eueu;83.2;l;NA
Eueu;1238;6.88;5.49;1;H;Nord_2_Eueu;70.4;l;NA
Eueu;869;6.57;4.34;1;H;Nord_2_Eueu;76.4;l;NA
Eueu;769;6.11;4.38;1;H;Nord_2_Eueu;69.4;l;NA
Eueu;1074;6.9;4.03;1;H;Nord_2_Eueu;44.9;l;NA
Eueu;1168;7.36;4.43;2;H;Nord_2_Eueu;104.7;l;NA
Eueu;1072;7.12;4.6;1;H;Nord_2_Eueu;48;l;NA
Eueu;1123;6.9;4.49;2;I;SH_Fluss1_Eueu;77.1;l;NA
Eueu;69;5.52;4.33;1;I;SH_Fluss1_Eueu;42.5;l;NA
Eueu;1117;6.99;4.47;1;I;SH_Fluss1_Eueu;39;l;NA
Eueu;967;6.91;4.45;1;I;SH_Fluss1_Eueu;36.5;l;NA
Eueu;842;6.41;4.03;1;I;SH_Fluss1_Eueu;41.1;l;NA
Eueu;755;6.14;3.74;1;I;SH_Fluss1_Eueu;52.1;l;NA
Eueu;782;6.03;4.39;1;I;SH_Fluss1_Eueu;35.1;l;NA
Eueu;1736;8.25;5.69;1;I;SH_Fluss1_Eueu;35;l;NA
Eueu;1345;8.5;5.04;2;J;Suseszy Borek_Eueu;92.4;l;NA
Eueu;804;6.16;4.14;1;J;Suseszy Borek_Eueu;62.7;l;NA
Eueu;553;4.87;3.83;1;J;Suseszy Borek_Eueu;46.8;l;NA
Eueu;1203;7.79;5.01;1;J;Suseszy Borek_Eueu;49.3;l;NA
Eueu;874;6.3;4.59;1;J;Suseszy Borek_Eueu;51.8;l;NA
Eueu;1268;7.2;4.64;1;J;Suseszy Borek_Eueu;45;l;NA
Eueu;687;5.28;4.38;1;J;Suseszy Borek_Eueu;35;l;NA
Eueu;603;5.82;4.13;1;J;Suseszy Borek_Eueu;46.3;l;NA
Fral;5252;9.7;8.88;2;A;1HSP_Fral;38.6;l;NA
Fral;3447;8.29;8.58;2;A;1HSP_Fral;40.6;l;NA
Fral;414;9.09;7.02;2;A;1HSP_Fral;42.7;l;NA
Fral;3558;8.74;7.54;2;A;1HSP_Fral;36.5;l;NA
Fral;4119;7.79;8.01;2;A;1HSP_Fral;37.2;l;NA
Fral;3821;8.59;7.44;2;A;1HSP_Fral;34.5;l;NA
Fral;4764;9.53;8.47;2;A;1HSP_Fral;37.1;l;NA
Fral;4113;8.8;8.77;2;A;1HSP_Fral;24.6;l;NA
Fral;4121;8.64;8.38;2;B;2HSP_Fral;42.6;l;NA
Fral;3477;8.31;7.67;2;B;2HSP_Fral;38.7;l;NA
Fral;4608;9.02;8.87;2;B;2HSP_Fral;48.8;l;NA
Fral;2625;7.37;7.21;2;B;2HSP_Fral;25.6;l;NA
Fral;2942;6.94;7.79;2;B;2HSP_Fral;23.6;l;NA
Fral;3831;7.96;8.53;2;B;2HSP_Fral;38.6;l;NA
Fral;3914;8.69;8.33;2;B;2HSP_Fral;42.3;l;NA
Fral;3178;8.45;7.82;2;B;2HSP_Fral;32.4;l;NA
Fral;3856;7.82;8.67;2;C;35_Mb_Fral;49.9;l;NA
Fral;3622;8.16;8.36;2;C;35_Mb_Fral;51.5;l;NA
Fral;3879;8.62;8.2;2;C;35_Mb_Fral;53.3;l;NA
Fral;3415;8.03;8.5;2;C;35_Mb_Fral;52;l;NA
Fral;344;8.15;8.27;2;C;35_Mb_Fral;50.9;l;NA
Fral;379;8.24;7.92;2;C;35_Mb_Fral;50.3;l;NA
Fral;2055;6.83;6.54;2;C;35_Mb_Fral;28.8;l;NA
Fral;4035;8.63;8.43;2;C;35_Mb_Fral;57.7;l;NA
Fral;3296;7.67;8.46;2;C;35_Mb_Fral;52.6;l;NA
Fral;7946;10.11;11.33;2;G;K1_Fral;64.2;o;NA
Fral;6602;10.53;9.23;2;G;K1_Fral;71.9;o;NA
Fral;3917;8.48;7.42;2;G;K1_Fral;28.6;o;NA
Fral;4529;8.53;8.23;2;G;K1_Fral;40.1;o;NA
Fral;6121;9.62;8.98;2;G;K1_Fral;60.9;o;NA
Fral;3811;7.6;8.7;2;G;K1_Fral;59;o;NA
Fral;7424;9.28;8.5;2;G;K1_Fral;33.5;o;NA
Fral;4665;9.6;8;2;G;K1_Fral;38.4;o;NA
Fral;398;9.42;7.26;2;G;K1_Fral;33.6;o;NA
Fral;4988;9.67;7.97;2;H;K2_Fral;40.4;o;NA
Fral;3547;7.86;7;2;H;K2_Fral;33.8;o;NA
Fral;5794;10.07;9.05;3;H;K2_Fral;53.4;o;NA
Fral;3352;8.55;7.45;2;H;K2_Fral;28.3;o;NA
Fral;3418;8.19;6.87;2;H;K2_Fral;25.1;o;NA
Fral;259;7.02;6.43;2;H;K2_Fral;21.3;o;NA
Fral;2703;7.55;7.26;2;H;K2_Fral;20.6;o;NA
Fral;3001;8.43;6.02;2;H;K2_Fral;34;o;NA
Fral;5215;9.04;9.07;2;I;K3_Fral;59;o;NA
Fral;2615;6.95;6.39;2;I;K3_Fral;26.6;o;NA
Fral;422;9.16;8.38;2;I;K3_Fral;43.8;o;NA
Fral;4726;7.39;9.47;2;I;K3_Fral;51.3;o;NA
Fral;3156;7.63;6.63;2;I;K3_Fral;27.9;o;NA
Fral;3223;6.18;8.7;2;I;K3_Fral;46.4;o;NA
Fral;3195;7.58;7.8;2;I;K3_Fral;33.1;o;NA
Fral;5003;9.15;9.46;2;I;K3_Fral;38.5;o;NA
Fral;3087;7.9;7.73;2;J;K4_Fral;47.2;o;NA
Fral;3917;8.52;8.4;2;J;K4_Fral;58.7;o;NA
Fral;4322;8.98;8.95;2;J;K4_Fral;36.6;o;NA
Fral;4059;8.46;8.53;2;J;K4_Fral;53.7;o;NA
Fral;3287;8.23;7.75;2;J;K4_Fral;29.2;o;NA
Fral;3486;8.36;8.26;2;J;K4_Fral;44;o;NA
Fral;2587;7.24;7.43;2;J;K4_Fral;38.9;o;NA
Fral;4119;8.4;7.93;2;K;K5_Fral;27.3;o;NA
Fral;6664;9.29;8.75;2;K;K5_Fral;40.8;o;NA
Fral;6606;9.2;10.34;2;K;K5_Fral;45.9;o;NA
Fral;5104;9.35;8.42;2;K;K5_Fral;55.9;o;NA
Fral;4356;9.41;8.3;2;K;K5_Fral;43.4;o;NA
Fral;5709;10.77;8.62;2;K;K5_Fral;40.5;o;NA
Fral;4242;9.07;7.66;2;K;K5_Fral;38.9;o;NA
Fral;5504;10.22;8.71;2;K;K5_Fral;42.1;o;NA
Fral;2675;7.38;7.13;2;D;Ma_Fral;39.7;l;NA
Fral;3852;7.88;8.5;2;D;Ma_Fral;47.9;l;NA
Fral;3192;8.33;8;2;D;Ma_Fral;50.5;l;NA
Fral;4012;8.89;8.78;2;D;Ma_Fral;60.6;l;NA
Fral;2818;7.71;7.11;2;D;Ma_Fral;30.9;l;NA
Fral;2853;7.34;6.93;2;D;Ma_Fral;38.2;l;NA
Fral;3866;8.42;7.83;2;D;Ma_Fral;49.9;l;NA
Fral;3672;8.14;7.23;2;D;Ma_Fral;54.9;l;NA
Fral;3947;8.94;8.55;2;D;Ma_Fral;56.5;l;NA
Fral;3455;7.61;9.04;2;L;Ma_Fral;42.6;o;NA
Fral;3225;7.23;8.43;2;L;Ma_Fral;43.7;o;NA
Fral;3517;8.08;8.4;2;L;Ma_Fral;38.8;o;NA
Fral;2978;7.77;7.42;2;L;Ma_Fral;31.2;o;NA
Fral;355;8.34;7.87;2;L;Ma_Fral;40.9;o;NA
Fral;2681;7.24;7.76;2;L;Ma_Fral;35.2;o;NA
Fral;4194;8.75;7.68;2;L;Ma_Fral;60.5;o;NA
Fral;263;7.91;6.63;2;L;Ma_Fral;32.4;o;NA
Fral;3362;7.82;7.99;2;L;Ma_Fral;49.3;o;NA
Fral;2675;7.39;7.23;2;L;Ma_Fral;37.6;o;NA
Fral;3417;8.34;8.49;2;E;Mc_Fral;52.7;l;NA
Fral;2775;7.34;7.72;2;E;Mc_Fral;45.6;l;NA
Fral;3608;7.22;8.44;2;E;Mc_Fral;55.3;l;NA
Fral;4208;8.04;8.7;2;E;Mc_Fral;61.2;l;NA
Fral;5447;8.81;9.36;3;E;Mc_Fral;82.9;l;NA
Fral;3105;7.89;7.59;2;E;Mc_Fral;50;l;NA
Fral;3231;8.29;7.67;2;E;Mc_Fral;50.5;l;NA
Fral;2971;8.14;7.13;2;E;Mc_Fral;40.7;l;NA
Fral;2834;7.77;7.55;2;F;X1_Fral;32.9;l;NA
Fral;3267;7.68;7.84;2;F;X1_Fral;43.9;l;NA
Fral;2008;6.63;6.44;2;F;X1_Fral;21.9;l;NA
Fral;2196;6.78;6.7;1;F;X1_Fral;20.6;l;NA
Fral;3327;8.1;7.85;2;F;X1_Fral;51.3;l;NA
Fral;3451;7.99;7.81;2;F;X1_Fral;42.3;l;NA
Fral;334;7.97;7.52;2;F;X1_Fral;44.8;l;NA
Fral;3102;7.43;7.91;2;F;X1_Fral;36.5;l;NA
Fral;3084;7.09;7.42;2;F;X1_Fral;39.9;l;NA
Prpa;260;6.56;6.01;1;F;M1_Prpa;64.1;o;NA
Prpa;265;6.82;7.11;1;F;M1_Prpa;45.4;o;NA
Prpa;339;6.78;6.85;1;F;M1_Prpa;41.8;o;NA
Prpa;338;7.37;7.25;1;F;M1_Prpa;52.4;o;NA
Prpa;266;6.62;6.36;1;F;M1_Prpa;51.7;o;NA
Prpa;263;6.63;6.46;1;F;M1_Prpa;45.9;o;NA
Prpa;249;6.79;6.72;1;F;M1_Prpa;58.6;o;NA
Prpa;254;6.2;6.67;1;F;M1_Prpa;42.6;o;NA
Prpa;273;7.02;6.61;1;F;M1_Prpa;41.1;o;NA
Prpa;295;7.24;6.62;1;F;M1_Prpa;33.7;o;NA
Prpa;276;7.03;6.66;1;F;M1_Prpa;49.3;o;NA
Prpa;336;7.34;7.42;1;F;M1_Prpa;45;o;NA
Prpa;244;6.49;6.19;1;G;M10_Prpa;40.4;o;NA
Prpa;304;7.03;7.18;1;G;M10_Prpa;50.6;o;NA
Prpa;226;6.12;6.3;1;G;M10_Prpa;43.1;o;NA
Prpa;239;6.44;6.71;1;G;M10_Prpa;45.1;o;NA
Prpa;220;6.67;6.2;1;G;M10_Prpa;41.9;o;NA
Prpa;190;6.46;5.78;1;G;M10_Prpa;42.4;o;NA
Prpa;194;6.82;6.6;1;G;M10_Prpa;40.7;o;NA
Prpa;245;6.68;6.93;1;G;M10_Prpa;45.6;o;NA
Prpa;379;8.59;8.29;1;H;M11_Prpa;45;o;NA
Prpa;298;6.6;7.79;1;H;M11_Prpa;66.2;o;NA
Prpa;322;7.39;7.88;1;H;M11_Prpa;56.5;o;NA
Prpa;336;7.92;7.42;1;H;M11_Prpa;57.4;o;NA
Prpa;299;7.02;7.28;1;I;M2_Prpa;61.8;o;NA
Prpa;324;6.91;7.09;1;I;M2_Prpa;66.8;o;NA
Prpa;262;7.01;6.4;1;I;M2_Prpa;58;o;NA
Prpa;283;6.44;6.6;1;I;M2_Prpa;61.8;o;NA
Prpa;247;6.44;6.53;1;I;M2_Prpa;57.2;o;NA
Prpa;279;7.13;6.09;1;I;M2_Prpa;59.2;o;NA
Prpa;237;6.81;6.74;1;I;M2_Prpa;54.9;o;NA
Prpa;268;6.81;6.78;1;I;M2_Prpa;54.2;o;NA
Prpa;242;6.07;6.35;1;I;M2_Prpa;54.8;o;NA
Prpa;272;7.12;6.82;1;I;M2_Prpa;56.8;o;NA
Prpa;294;6.93;6.68;1;I;M2_Prpa;56.8;o;NA
Prpa;218;6.54;5.89;1;I;M2_Prpa;47.6;o;NA
Prpa;238;7.21;6.31;1;J;M4_Prpa;49.3;o;NA
Prpa;341;7.61;7.53;1;J;M4_Prpa;57.9;o;NA
Prpa;241;6.71;6.56;1;J;M4_Prpa;52.2;o;NA
Prpa;213;6.43;6.17;1;J;M4_Prpa;57.8;o;NA
Prpa;297;7.61;7.24;1;J;M4_Prpa;50.6;o;NA
Prpa;205;6.3;6.01;1;J;M4_Prpa;47.9;o;NA
Prpa;350;7.2;7.21;1;J;M4_Prpa;56.6;o;NA
Prpa;212;5.82;6.7;1;J;M4_Prpa;44.9;o;NA
Prpa;315;7.55;7.41;1;J;M4_Prpa;57.2;o;NA
Prpa;218;6.69;6.15;1;J;M4_Prpa;48.4;o;NA
Prpa;263;6.63;6.45;1;J;M4_Prpa;61.8;o;NA
Prpa;309;6.68;7.72;1;K;M5_Prpa;66.1;o;NA
Prpa;344;7;7.7;1;K;M5_Prpa;59.3;o;NA
Prpa;264;5.99;6.74;1;K;M5_Prpa;50.5;o;NA
Prpa;285;6.28;6.82;1;K;M5_Prpa;56.1;o;NA
Prpa;295;6.19;7.22;1;K;M5_Prpa;53.3;o;NA
Prpa;137;5.32;5.96;1;K;M5_Prpa;35.3;o;NA
Prpa;317;6.81;7.16;1;K;M5_Prpa;56.4;o;NA
Prpa;287;6.1;6.73;1;K;M5_Prpa;59.2;o;NA
Prpa;257;6.84;6.95;1;L;M6_Prpa;42.7;o;NA
Prpa;214;5.78;6.08;1;L;M6_Prpa;39.9;o;NA
Prpa;306;7.02;7;1;L;M6_Prpa;46.9;o;NA
Prpa;247;6.2;6.41;1;L;M6_Prpa;44.3;o;NA
Prpa;265;6.46;6.85;1;L;M6_Prpa;41.7;o;NA
Prpa;292;6.97;6.95;1;L;M6_Prpa;47.3;o;NA
Prpa;183;5.92;5.78;1;M;M7_Prpa;45.4;o;NA
Prpa;190;6.12;5.6;1;M;M7_Prpa;39.6;o;NA
Prpa;167;5.92;5.24;1;M;M7_Prpa;38.6;o;NA
Prpa;196;6.09;6.26;1;M;M7_Prpa;48.1;o;NA
Prpa;195;5.98;6.12;1;M;M7_Prpa;41.7;o;NA
Prpa;199;6.52;6.19;1;M;M7_Prpa;46.3;o;NA
Prpa;161;5.78;5.73;1;M;M7_Prpa;43.7;o;NA
Prpa;155;6.09;5.7;1;M;M7_Prpa;39;o;NA
Prpa;279;7.38;7.88;1;N;M8_Prpa;55.9;o;NA
Prpa;261;6.91;6.9;1;N;M8_Prpa;52.3;o;NA
Prpa;273;7.55;6.98;1;N;M8_Prpa;51.2;o;NA
Prpa;270;7.01;6.8;1;N;M8_Prpa;50.8;o;NA
Prpa;291;7.05;6.78;1;N;M8_Prpa;51.9;o;NA
Prpa;279;7.02;6.82;1;N;M8_Prpa;52.4;o;NA
Prpa;284;7;6.77;1;N;M8_Prpa;45;o;NA
Prpa;248;6.48;6.81;1;N;M8_Prpa;40.8;o;NA
Prpa;290;7.19;7.01;1;N;M8_Prpa;47.9;o;NA
Prpa;224;6.44;5.95;1;N;M8_Prpa;42.3;o;NA
Prpa;313;6.88;7.31;1;N;M8_Prpa;49.7;o;NA
Prpa;234;6.65;5.93;1;N;M8_Prpa;50.4;o;NA
Prpa;294;6.92;6.62;1;N;M8_Prpa;57;o;NA
Prpa;315;6.88;6.56;1;N;M8_Prpa;55.4;o;NA
Prpa;248;6.58;7.34;1;N;M8_Prpa;57.8;o;NA
Prpa;365;7.01;7.25;1;N;M8_Prpa;44.2;o;NA
Prpa;345;6.94;6.82;1;N;M8_Prpa;64.6;o;NA
Prpa;325;6.37;7.37;1;N;M8_Prpa;60;o;NA
Prpa;363;7.28;7.31;1;N;M8_Prpa;55.8;o;NA
Prpa;322;6.88;7.1;1;N;M8_Prpa;64.5;o;NA
Prpa;207;6.01;5.14;1;N;M8_Prpa;50;o;NA
Prpa;209;6.54;5.76;1;N;M8_Prpa;47;o;NA
Prpa;260;6.21;6.82;1;O;M9_Prpa;52.1;o;NA
Prpa;162;6.71;5.2;1;O;M9_Prpa;54.4;o;NA
Prpa;231;6.59;6.48;1;O;M9_Prpa;52.6;o;NA
Prpa;173;6.28;5.78;1;O;M9_Prpa;46.7;o;NA
Prpa;129;5.7;4.89;1;O;M9_Prpa;46.5;o;NA
Prpa;176;5.67;6.07;1;O;M9_Prpa;43.2;o;NA
Prpa;185;5.42;6.22;1;O;M9_Prpa;47.4;o;NA
Prpa;157;6.31;5.2;1;O;M9_Prpa;42.7;o;NA
Prpa;212;6.42;5.75;1;O;M9_Prpa;48.3;o;NA
Prpa;208;6.24;6.45;1;O;M9_Prpa;47.8;o;NA
Prpa;337;7.44;7.43;1;A;Ma_Prpa;48.6;l;NA
Prpa;362;7.28;7.23;1;A;Ma_Prpa;57.5;l;NA
Prpa;373;8.46;8.26;1;A;Ma_Prpa;53.5;l;NA
Prpa;353;7.6;8.2;1;A;Ma_Prpa;52.2;l;NA
Prpa;309;7.26;7.33;1;A;Ma_Prpa;45.4;l;NA
Prpa;380;7.8;8.79;1;A;Ma_Prpa;53.8;l;NA
Prpa;367;7.27;7.44;1;A;Ma_Prpa;57.8;l;NA
Prpa;422;8.1;7.86;1;A;Ma_Prpa;57;l;NA
Prpa;299;6.98;6.35;1;A;Ma_Prpa;51.5;l;NA
Prpa;404;7.09;7.58;1;A;Ma_Prpa;56.5;l;NA
Prpa;340;7.09;7.27;1;B;Mb_Prpa;52.1;l;NA
Prpa;254;6.6;6.63;1;B;Mb_Prpa;46.1;l;NA
Prpa;308;7.15;6.43;1;B;Mb_Prpa;51.7;l;NA
Prpa;307;7.08;7.16;1;B;Mb_Prpa;48.9;l;NA
Prpa;276;6.25;5.63;1;B;Mb_Prpa;62;l;NA
Prpa;340;6.5;7.33;1;B;Mb_Prpa;52.1;l;NA
Prpa;257;6.85;6.18;1;B;Mb_Prpa;55.6;l;NA
Prpa;348;7.24;7.42;1;B;Mb_Prpa;53.9;l;NA
Prpa;223;7.24;6.51;1;B;Mb_Prpa;50.3;l;NA
Prpa;269;6.5;6.82;1;B;Mb_Prpa;52;l;NA
Prpa;315;7.71;7.7;1;C;Mc_Prpa;52.5;l;NA
Prpa;256;6.96;6.47;1;C;Mc_Prpa;43.7;l;NA
